line_number,method,target_address,thread,module_path,symbol,matched_terms
1,M1,0x7ffb4a420830,0,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
2,M1,0x7ffb4a420830,0,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
3,M1,0x7ffb4a4204f0,0,C:\Windows\System32\KERNEL32.DLL,IsDebuggerPresent,['IsDebuggerPresent']
4,M1,0x7ffb4a401250,0,C:\Windows\System32\KERNEL32.DLL,CheckRemoteDebuggerPresent,['CheckRemoteDebuggerPresent']
5,M1,0x7ffb4af6d8b0,0,C:\Windows\SYSTEM32\ntdll.dll,ZwQueryInformationProcess,['ZwQueryInformationProcess']
6,M1,0x7ffb4af6d730,0,C:\Windows\SYSTEM32\ntdll.dll,ZwSetInformationThread,['ZwSetInformationThread']
7,M1,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
8,M1,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
9,M1,0x7ffb4a418800,0,C:\Windows\System32\KERNEL32.DLL,LocalAlloc,['LocalAlloc']
10,M1,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
11,M1,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
15,M1,0x7ffb4a415980,0,C:\Windows\System32\KERNEL32.DLL,GetTickCount,['GetTickCount']
16,M1,0x7ffb4a415f50,0,C:\Windows\System32\KERNEL32.DLL,QueryPerformanceCounter,['QueryPerformanceCounter']
95,M1,0x7ffb4a4158b0,0,C:\Windows\System32\KERNEL32.DLL,HeapFree,['HeapFree']
160,M1,0x7ffb4a41bfb0,0,C:\Windows\System32\KERNEL32.DLL,VirtualProtect,['VirtualProtect']
163,M1,0x7ffb4a4204f0,1,C:\Windows\System32\KERNEL32.DLL,IsDebuggerPresent,['IsDebuggerPresent']
168,M1,0x7ffb4a420830,1,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
179,M1,0x7ffb4a420830,1,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
278,M1,0x7ffb4a420830,1,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
284,M1,0x7ffb4a420830,1,C:\Windows\System32\KERNEL32.DLL,LoadLibraryA,['LoadLibraryA']
